9,6672
2,0651
11,4485
8,6400
9,9125
27,0343
12,6266
11,0976
19,7291
4,4790
13,2849
6,4232
4,9323
13,9599
11,7152
12,2580
17,0421
5,8411
2,7095
2,9288
6,9639
7,7430
12,8130
22,4886
8,4871
13,3803
14,6516
5,4074
6,6908
14,9531
9,4251
17,0421
13,1898
10,0777
16,6134
6,4232
13,0951
7,8159
13,0951
3,5883
8,7170
8,7170
11,0107
8,1853
19,6132
17,5857
8,1108
6,6908
13,4760
6,1611
13,6685
0,9600
3,4413
10,4122
2,1408
30,1056
8,3355
10,3281
21,6296
13,0951
14,2543
6,2261
8,1853
24,0000
26,4936
14,4522
11,0107
21,6296
10,9242
27,5804
11,4485
6,7586
3,8400
8,5634
8,2603
8,2603
30,8267
24,9044
28,1320
14,3531
11,6260
10,4967
24,0000
20,6684
3,4413
15,1559
20,3136
10,2443
10,6667
24,0000
2,0651
11,3603
14,4522
26,4936
11,2724
23,7447
4,1533
22,6127
10,3281
6,0320
