0,1915
0,9220
0,0154
2,9065
0,0789
0,0311
0,2400
0,5069
0,0789
1,0251
5,3771
0,0188
0,7322
0,3083
1,1336
0,0523
2,0839
0,8483
1,2476
4,2336
0,1199
0,0311
0,2530
0,0789
0,2031
0,3690
1,7931
0,0188
0,3083
0,5069
0,0004
0,2400
1,9357
0,9472
0,0311
0,5643
1,8996
0,1485
0,5643
1,1336
3,8144
0,3690
0,1485
0,2530
0,2400
0,1199
0,5841
0,1199
0,0072
0,5643
0,2530
0,4885
1,7583
0,8483
1,1616
0,2031
0,0072
1,0251
0,0523
2,6880
2,5194
0,0072
0,1199
0,0072
0,0072
0,0052
0,0011
0,2530
0,5841
0,2400
2,7311
0,6455
0,1199
0,2939
0,6667
0,5841
4,5067
3,6131
1,3978
0,1199
0,3533
0,5841
0,3690
1,1336
0,4182
0,0188
1,6224
0,1915
0,0359
0,3690
2,2375
5,3771
0,2939
0,1588
0,0052
0,0359
0,4352
0,4352
0,1485
0,0311
