0,2939
0,0523
0,6455
0,0311
0,1110
4,2875
0,4352
2,3965
1,4920
0,9472
2,5194
0,4885
0,3083
1,9357
2,8621
0,2400
0,0188
3,0417
0,9220
0,2400
0,0523
4,9033
0,4885
0,0052
0,0789
0,0864
0,2400
0,3690
2,1986
1,7931
0,7547
0,5841
3,2738
0,1588
0,0011
1,6224
1,5241
0,0072
0,0004
0,7322
0,1199
0,8483
2,1986
0,3533
1,6224
0,0584
6,4564
1,2770
3,2267
0,0072
0,4182
0,1485
0,0584
0,4352
0,1588
4,9033
0,0052
0,0004
1,2770
0,0584
0,3533
0,0359
0,0311
0,3533
1,2476
1,7583
0,0311
0,0864
0,0523
1,8996
0,3690
0,0072
1,2476
0,0072
3,2738
0,5841
6,7247
0,2939
0,2031
3,2267
0,0311
0,3083
0,1110
0,5069
0,4352
1,3671
0,6667
0,8244
1,3671
0,6455
0,8244
0,5841
0,0584
0,3690
0,0584
0,1588
0,1588
0,5841
0,1199
1,3671
